"Anio","ID region","Region","Provincia","Comuna","Número explotación","Número bloque","Tipo productor","Especie","Variedad","Anio plantacion","Metodo de riego","Numero de arboles","Superficie (ha)"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","19465","1","Hombre","Nogal","Chandler","2015","Goteo","142","0,34"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","7915","5","Empresa","Nogal","Chandler","2019","Goteo","90","0,36"
"2025","13","Región Metropolitana de Santiago","Cordillera","San Jose Maipo","5473","10","Hombre","Nogal","Chandler","2021","Goteo","120","0,36"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","19973","1","Hombre","Nogal","Chandler","2015","Goteo","123","0,37"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","10810","1","Hombre","Nogal","Chandler","2012","Goteo","90","0,38"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","19022","5","Hombre","Nogal","Chandler","2008","Goteo","130","0,39"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","6425","1","Empresa","Nogal","Chandler","2018","Goteo","95","0,40"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","12332","4","Hombre","Nogal","Chandler","2014","Goteo","114","0,40"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","5035","2","Empresa","Limonero","Eureka","2009","Goteo","5476","11,50"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","10520","1","Hombre","Limonero","Eureka","2020","Goteo","7152","11,80"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","2209","1","Empresa","Limonero","Eureka","1997","Goteo","9037","12,20"
"2025","13","Región Metropolitana de Santiago","Melipilla","María Pinto","6846","12","Empresa","Limonero","Eureka","2022","Goteo","6856","12,34"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","5035","3","Empresa","Limonero","Eureka","2009","Goteo","5998","12,60"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","8041","2","Empresa","Limonero","Eureka","2009","Goteo","5333","12,80"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","11381","44","Empresa","Limonero","Eureka","2021","Goteo","8667","13,00"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","14008","1","Hombre","Limonero","Eureka","2009","Goteo","7356","13,24"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","2209","3","Empresa","Limonero","Eureka","2020","Goteo","15222","13,70"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","21412","5","Empresa","Limonero","Eureka","2022","Goteo","12800","16,00"
"2025","13","Región Metropolitana de Santiago","Talagante","El Monte","5511","1","Empresa","Limonero","Eureka","2020","Goteo","9183","16,53"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","11381","40","Empresa","Limonero","Eureka","2016","Goteo","11133","16,70"
"2025","13","Región Metropolitana de Santiago","Talagante","Talagante","11751","3","Empresa","Limonero","Eureka","2021","Goteo","11807","17,71"
"2025","13","Región Metropolitana de Santiago","Melipilla","María Pinto","11028","60","Empresa","Limonero","Eureka","2018","Goteo","38764","27,91"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","1494","3","Empresa","Limonero","Eureka","2025","Goteo","50455","55,50"
"2025","13","Región Metropolitana de Santiago","Chacabuco","Colina","2593","5","Hombre","Vid de Mesa","Moscatel De Alejandria","2004","Goteo","1256","1,13"
"2025","13","Región Metropolitana de Santiago","Chacabuco","Colina","2593","1","Hombre","Vid de Mesa","Moscatel De Alejandria","2020","Goteo","2217","1,33"
"2025","13","Región Metropolitana de Santiago","Melipilla","Alhué","12241","18","Empresa","Nectarino","Bright Pearl","2021","Goteo","1689","1,52"
"2025","13","Región Metropolitana de Santiago","Melipilla","Alhué","12241","19","Empresa","Nectarino","Bright Pearl","2021","Goteo","1746","1,57"
"2025","13","Región Metropolitana de Santiago","Maipo","Paine","11621","5","Empresa","Nectarino","Bright Pearl","2014","Goteo","1556","2,10"
