"AGNO","RBD","DGV_RBD","NOM_RBD","COD_DEPE","COD_DEPE2","RURAL_RBD","COD_REG_RBD","NOM_REG_RBD_A","COD_PRO_RBD","COD_COM_RBD","NOM_COM_RBD","COD_DEPROV_RBD","NOM_DEPROV_RBD","ESTADO_ESTAB","MAT_SI_1","MAT_HOM_1","MAT_MUJ_1","MAT_ENS_1","MAT_SI_2","MAT_HOM_2","MAT_MUJ_2","MAT_ENS_2","MAT_HOM_3","MAT_MUJ_3","MAT_ENS_3","MAT_SI_4","MAT_HOM_4","MAT_MUJ_4","MAT_ENS_4","MAT_SI_5","MAT_HOM_5","MAT_MUJ_5","MAT_ENS_5","MAT_SI_6","MAT_HOM_6","MAT_MUJ_6","MAT_ENS_6","MAT_HOM_7","MAT_MUJ_7","MAT_ENS_7","MAT_HOM_8","MAT_MUJ_8","MAT_ENS_8","MAT_HOM_TOT","MAT_MUJ_TOT","MAT_SI_TOT","MAT_TOTAL","MAT_CHI","MAT_EXT","MAT_NAC","MAT_NO_ETNIA","MAT_ETNIA","MAT_SI_INT","MAT_HOM_INT","MAT_MUJ_INT","MAT_INT_TOTAL","CUR_SIM_01","CUR_SIM_02","CUR_SIM_03","CUR_SIM_04","CUR_SIM_05","CUR_SIM_06","CUR_SIM_07","CUR_SIM_08","CUR_SIM_TOT","CUR_COMB_01","CUR_COMB_02","CUR_COMB_TOT","SLEP","NOMBRE_SLEP"
2025,1688,8,"ESCUELA ALMIRANTE LUIS GOMEZ CARRENO                                                                                                                                                                                                                           ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,9,13,22,0,124,108,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,121,0,254,235,19,0,235,19,0,43,27,70,2,9,0,0,0,0,0,0,11,0,0,0,26,"COSTA CENTRAL"
2025,1689,6,"ESCUELA ORO NEGRO                                                                                                                                                                                                                                              ",6,5,0,5,"VALPO",51,5103,"CONCÓN             ",53,"VALPARAÍSO            ",1,0,25,28,53,0,258,209,467,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,244,0,530,327,203,0,512,18,0,72,48,120,2,16,0,2,0,0,0,0,20,0,0,0,26,"COSTA CENTRAL"
2025,1691,8,"ESCUELA LORD COCHRANE                                                                                                                                                                                                                                          ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,14,12,26,0,96,60,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,72,0,182,158,24,0,175,7,0,41,20,61,0,8,0,0,0,0,0,0,8,1,0,1,26,"COSTA CENTRAL"
2025,1692,6,"ESCUELA ARTURO PRAT CHACON                                                                                                                                                                                                                                     ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,28,31,59,0,200,171,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,202,0,430,354,76,0,391,39,0,71,44,115,2,16,0,0,0,0,0,0,18,0,0,0,26,"COSTA CENTRAL"
2025,1693,4,"ESCUELA BASICA 21 DE MAYO                                                                                                                                                                                                                                      ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,3,11,14,0,63,56,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,67,0,133,124,9,0,119,14,0,28,26,54,0,8,0,0,0,0,0,0,8,1,0,1,26,"COSTA CENTRAL"
2025,1695,0,"ESCUELA PEDRO AGUIRRE CERDA                                                                                                                                                                                                                                    ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,12,13,25,0,88,57,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,70,0,170,117,53,0,160,10,0,41,19,60,0,8,0,0,0,0,0,0,8,1,0,1,26,"COSTA CENTRAL"
2025,1696,9,"ESCUELA BASICA CHORRILOS                                                                                                                                                                                                                                       ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,18,20,38,0,79,57,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,77,0,174,158,16,0,152,22,0,44,21,65,2,8,0,0,0,0,0,0,10,0,0,0,26,"COSTA CENTRAL"
2025,1697,7,"ESCUELA GASTON OSSA SAINT MARIE                                                                                                                                                                                                                                ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,12,8,20,0,81,68,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,76,0,169,143,26,0,136,33,0,26,29,55,2,8,0,0,0,0,0,0,10,0,0,0,26,"COSTA CENTRAL"
2025,1698,5,"ESCUELA PAUL HARRIS                                                                                                                                                                                                                                            ",6,5,0,5,"VALPO",51,5109,"VIÑA DEL MAR       ",53,"VALPARAÍSO            ",1,0,30,12,42,0,199,143,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,155,0,384,346,38,0,352,32,0,75,44,119,2,16,0,0,0,0,0,0,18,0,0,0,26,"COSTA CENTRAL"
2025,1699,3,"ESCUELA BASICA IRMA SALAS SILVA                                                                                                                                                                                                                                ",6,5,0,5,"VALPO",51,5103,"CONCÓN             ",53,"VALPARAÍSO            ",1,0,27,33,60,0,170,149,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,182,0,379,288,91,0,351,28,0,54,28,82,2,10,0,0,0,0,0,0,12,0,0,0,26,"COSTA CENTRAL"
